Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
12	506	7.17e-14	13.1	4.7	-30	28	52	-13.7	31.8	52	186	-2	42	54.5	78.2
11	408	6.91e-12	11.2	5.2	-48	-70	34.5	-47.9	-65.1	37.1	228	-52	-72	37	117
10	225	1.19e-07	6.92	4.76	-44	44	-18	-45.5	44.2	-11.7	156	-48	48	-15.5	97.8
9	219	1.79e-07	6.75	5.27	38	-42	-20.5	38.6	-56	-19.5	165	46	-70	-18	65.2
8	200	4.77e-07	6.32	4.55	-66	-20	-23	-62.3	-37.1	-13.1	131	-66	-48	-8	67.4
7	198	5.96e-07	6.22	4.79	-4	-64	37	-3.33	-67.2	42.3	212	0	-74	49.5	107
6	148	1.44e-05	4.84	5.25	-34	-60	-13	-35.8	-61.2	-14.8	119	-34	-78	-20.5	61.8
5	89	0.00109	2.96	4.57	-2	60	-20.5	-1.22	52.8	-15.8	122	-2	48	-13	84.5
4	83	0.00178	2.75	4.2	-2	54	9.5	-4.64	56.1	11.4	212	-2	64	14.5	104
3	67	0.00692	2.16	3.88	-44	8	57	-42.2	12.7	53.4	109	-46	8	54.5	70.7
2	59	0.0142	1.85	3.75	-18	-54	-10.5	-23.7	-52.7	-11	62.7	-18	-54	-8	51.9
1	50	0.033	1.48	3.81	-60	16	19.5	-56.8	17.4	21	118	-56	16	29.5	79.2
