Cluster Index	Z	x	y	z	
10	5.19	-46	-72	37
10	4.62	-42	-64	32
10	4.44	-54	-66	34.5
10	4.12	-44	-72	47
10	3.76	-36	-74	47
10	3.59	-32	-72	54.5
9	4.61	-2	58	-20.5
9	4.53	-2	54	-15.5
9	4.08	6	58	-18
9	3.94	-8	20	-15.5
9	3.89	-10	26	-15.5
9	3.76	-4	44	-13
8	4.32	-40	-58	-15.5
8	4.14	-36	-60	-18
8	4.11	-34	-58	-13
8	3.96	-28	-60	-13
8	3.9	-44	-60	-13
7	4.47	-42	46	-15.5
7	4.3	-38	44	-15.5
7	3.94	-38	32	-20.5
7	3.66	-52	40	-15.5
7	3.55	-44	46	-10.5
7	3.38	-30	32	-20.5
6	4.25	40	-64	-15.5
6	4.01	46	-70	-15.5
6	3.75	40	-64	-8
6	3.67	50	-68	-8
6	3.43	54	-66	-8
6	3.2	34	-72	-15.5
5	5.52	36	-42	-20.5
5	3.84	34	-52	-15.5
4	4.59	-4	-64	37
4	3.76	0	-68	32
4	3.61	2	-74	37
4	3.53	0	-74	44.5
4	3.43	0	-70	47
4	3.13	6	-68	32
3	3.98	2	44	9.5
3	3.92	-2	48	9.5
3	3.82	-4	54	9.5
2	4.35	-10	-28	14.5
2	3.86	-8	-24	12
2	3.43	-4	-18	17
1	3.94	-68	-50	2
1	3.47	-66	-54	-5.5
1	3.45	-58	-50	-8
