subjectID	order	run	before_or_after	session(visit)	itemName	bidInd	oneOrSeveral?	onsettime	fixationTime
998	 2	 1	 after	 1	 Kitkat.bmp	 58	 1	 2.150645	 4.153525	
998	 2	 1	 after	 1	 ChocolateParaSucariotKoftzot2.bmp	 40	 0	 9.158542	 11.144259	
998	 2	 1	 after	 1	 BabyDoll.bmp	 3	 1	 16.149709	 18.152011	
998	 2	 1	 after	 1	 DoritosNatural.bmp	 52	 1	 23.157574	 25.142998	
998	 2	 1	 after	 1	 PesekZman.bmp	 49	 1	 30.148825	 32.151270	
998	 2	 1	 after	 1	 WerthersOriginal.bmp	 10	 1	 37.156702	 39.159023	
998	 2	 1	 after	 1	 ClickBalls5.bmp	 46	 1	 44.147808	 46.150199	
998	 2	 1	 after	 1	 BambaSweet.bmp	 20	 1	 51.155723	 53.157976	
998	 2	 1	 after	 1	 HappyHippo.bmp	 6	 1	 58.146843	 60.149239	
998	 2	 1	 after	 1	 Dubonim.bmp	 11	 0	 65.154778	 67.157089	
998	 2	 1	 after	 1	 Loacker.bmp	 55	 0	 72.146048	 74.148364	
998	 2	 1	 after	 1	 BambaNugat.bmp	 47	 1	 79.153841	 81.156166	
998	 2	 1	 after	 1	 Cheetos.bmp	 42	 0	 86.144667	 88.147324	
998	 2	 1	 after	 1	 BisliOnion.bmp	 5	 0	 93.152866	 95.155152	
998	 2	 1	 after	 1	 TapuchipsCrunch.bmp	 57	 1	 100.143715	 102.146435	
998	 2	 1	 after	 1	 Tictac.bmp	 17	 0	 107.151853	 109.154171	
998	 2	 1	 after	 1	 Snickers.bmp	 22	 1	 114.159806	 116.145545	
998	 2	 1	 after	 1	 Mekupelet.bmp	 39	 1	 121.150929	 123.153237	
998	 2	 1	 after	 1	 ClickXLwhite4.bmp	 43	 0	 128.158790	 130.144497	
998	 2	 1	 after	 1	 Tortit.bmp	 4	 1	 135.150007	 137.152380	
