subjectID	order	run	before_or_after	session(visit)	itemName	bidInd	isOne?	onsettime	fixationTime
998	 2	 1	 before	 1	 Mekupelet.bmp	 5	 0	 2.146398	 4.149275	
998	 2	 1	 before	 1	 ChocolateParaSucariotKoftzot2.bmp	 17	 0	 9.137647	 11.139974	
998	 2	 1	 before	 1	 Hit.bmp	 44	 1	 16.145465	 18.147829	
998	 2	 1	 before	 1	 Cheetos.bmp	 58	 1	 23.136663	 25.139053	
998	 2	 1	 before	 1	 ClickXLwhite4.bmp	 6	 1	 30.144596	 32.146880	
998	 2	 1	 before	 1	 KinderBuenoBrown3.bmp	 41	 1	 37.135753	 39.138059	
998	 2	 1	 before	 1	 ChocolateParaCookies5.bmp	 20	 1	 44.143625	 46.145921	
998	 2	 1	 before	 1	 ClickBalls5.bmp	 8	 1	 51.151429	 53.137034	
998	 2	 1	 before	 1	 BambaNugat.bmp	 3	 1	 58.142638	 60.144957	
998	 2	 1	 before	 1	 BisliGrill.bmp	 9	 1	 65.150463	 67.135868	
998	 2	 1	 before	 1	 PesekZman.bmp	 42	 0	 72.141606	 74.143976	
998	 2	 1	 before	 1	 Smarties.bmp	 11	 0	 79.149521	 81.134807	
998	 2	 1	 before	 1	 KashitSour.bmp	 56	 1	 86.140745	 88.143051	
998	 2	 1	 before	 1	 DoritosNatural.bmp	 45	 1	 93.148497	 95.134047	
998	 2	 1	 before	 1	 KinderBuenoWhite2.bmp	 14	 0	 100.139717	 102.142049	
998	 2	 1	 before	 1	 Mentos.bmp	 18	 1	 107.147580	 109.149909	
998	 2	 1	 before	 1	 Loacker.bmp	 47	 1	 114.138834	 116.141136	
998	 2	 1	 before	 1	 DoritosSourSpicy.bmp	 15	 0	 121.146668	 123.148909	
998	 2	 1	 before	 1	 TapuchipsCrunch.bmp	 57	 1	 128.137830	 130.140192	
998	 2	 1	 before	 1	 Kitkat.bmp	 10	 1	 135.145704	 137.148040	
