subjectID	order	run	before_or_after	session(visit)	itemName	bidInd	isOne?	onsettime	fixationTime
998	 2	 1	 after	 1	 Halva2.bmp	 16	 0	 2.160631	 4.163474	
998	 2	 1	 after	 1	 Popco.bmp	 8	 1	 9.168453	 11.153875	
998	 2	 1	 after	 1	 ChocolateParaSucariotKoftzot2.bmp	 40	 0	 16.159704	 18.161999	
998	 2	 1	 after	 1	 ClickXLwhite4.bmp	 43	 0	 23.167533	 25.169791	
998	 2	 1	 after	 1	 DoritosSourSpicy.bmp	 56	 1	 30.158661	 32.161017	
998	 2	 1	 after	 1	 BambaSweet.bmp	 20	 1	 37.166611	 39.168836	
998	 2	 1	 after	 1	 HappyHippo.bmp	 6	 1	 44.157697	 46.160068	
998	 2	 1	 after	 1	 Apropo.bmp	 9	 1	 51.165577	 53.167926	
998	 2	 1	 after	 1	 ChocolateParaCookies5.bmp	 45	 1	 58.156807	 60.159126	
998	 2	 1	 after	 1	 BabyDoll.bmp	 3	 1	 65.164692	 67.166990	
998	 2	 1	 after	 1	 Tictac.bmp	 17	 0	 72.155829	 74.158131	
998	 2	 1	 after	 1	 ChocolateParaMilk3.bmp	 14	 0	 79.163638	 81.166039	
998	 2	 1	 after	 1	 TapuchipsCrunch.bmp	 57	 1	 86.154598	 88.157184	
998	 2	 1	 after	 1	 WerthersOriginal.bmp	 10	 1	 93.162698	 95.165095	
998	 2	 1	 after	 1	 DoritosNatural.bmp	 52	 1	 100.153617	 102.156226	
998	 2	 1	 after	 1	 KinderBuenoBrown3.bmp	 44	 1	 107.161704	 109.164053	
998	 2	 1	 after	 1	 Bounty.bmp	 15	 0	 114.169651	 116.155215	
998	 2	 1	 after	 1	 PesekZman.bmp	 49	 1	 121.160766	 123.163107	
998	 2	 1	 after	 1	 Cheetos.bmp	 42	 0	 128.168703	 130.154041	
998	 2	 1	 after	 1	 Twix.bmp	 7	 1	 135.159810	 137.162110	
