subjectID	order	run	before_or_after	session(visit)	itemName	bidInd	oneOrSeveral?	onsettime	fixationTime
999	 1	 1	 before	 1	 ClickBisquit2.bmp	 39	 0	 2.474008	 4.474299	
999	 1	 1	 before	 1	 KinderJoy.bmp	 4	 0	 9.465843	 11.468084	
999	 1	 1	 before	 1	 Cheetos.bmp	 49	 0	 16.474048	 18.474382	
999	 1	 1	 before	 1	 Bamba.bmp	 44	 0	 23.465821	 25.467497	
999	 1	 1	 before	 1	 Tortit.bmp	 16	 1	 30.473642	 32.475026	
999	 1	 1	 before	 1	 CrunchBisquitWhite2.bmp	 3	 1	 37.464902	 39.466828	
999	 1	 1	 before	 1	 Halva2.bmp	 10	 0	 44.472576	 46.474884	
999	 1	 1	 before	 1	 ChocolateParaMilk3.bmp	 46	 0	 51.463698	 53.465927	
999	 1	 1	 before	 1	 DoritosGrill.bmp	 6	 1	 58.471117	 60.473327	
999	 1	 1	 before	 1	 Loacker.bmp	 20	 0	 65.462476	 67.464813	
999	 1	 1	 before	 1	 BambaNugat.bmp	 13	 1	 72.470390	 74.472369	
999	 1	 1	 before	 1	 GumiWine2.bmp	 12	 0	 79.462404	 81.463712	
999	 1	 1	 before	 1	 TapuchipsCrunch.bmp	 57	 1	 86.470149	 88.472679	
999	 1	 1	 before	 1	 Mars.bmp	 47	 1	 93.476459	 95.463763	
999	 1	 1	 before	 1	 Mekupelet.bmp	 40	 1	 100.469366	 102.471218	
999	 1	 1	 before	 1	 Taami.bmp	 21	 0	 107.476900	 109.461751	
999	 1	 1	 before	 1	 SkittlesFruits2.bmp	 42	 0	 114.468196	 116.470224	
999	 1	 1	 before	 1	 Smarties.bmp	 9	 1	 121.476304	 123.477086	
999	 1	 1	 before	 1	 ClickXLwhite4.bmp	 56	 0	 128.467264	 130.469644	
999	 1	 1	 before	 1	 KinderBuenoWhite2.bmp	 7	 0	 135.475588	 137.477750	
999	 1	 1	 before	 1	 Bounty.bmp	 8	 0	 142.466752	 144.468064	
999	 1	 1	 before	 1	 HappyHippo.bmp	 18	 1	 149.474452	 151.477314	
999	 1	 1	 before	 1	 BisliPizza3.bmp	 48	 0	 156.465855	 158.468394	
999	 1	 1	 before	 1	 BagaleShtuhim.bmp	 58	 1	 163.473936	 165.475525	
999	 1	 1	 before	 1	 BisliGrill.bmp	 55	 0	 170.464044	 172.466784	
999	 1	 1	 before	 1	 Dubonim.bmp	 43	 0	 177.472877	 179.475363	
999	 1	 1	 before	 1	 SkittlesSour4.bmp	 14	 1	 184.463741	 186.466049	
999	 1	 1	 before	 1	 GumiSnakes3.bmp	 52	 1	 191.471013	 193.473359	
999	 1	 1	 before	 1	 BisliOnion.bmp	 22	 0	 198.462516	 200.462142	
999	 1	 1	 before	 1	 ClickBalls5.bmp	 17	 1	 205.462344	 207.462396	
999	 1	 1	 before	 1	 Popco.bmp	 50	 1	 212.462671	 214.462192	
999	 1	 1	 before	 1	 DoritosNatural.bmp	 54	 1	 219.462355	 221.462248	
999	 1	 1	 before	 1	 Kitkat.bmp	 45	 1	 226.461913	 228.462710	
999	 1	 1	 before	 1	 CrunchBisquitBrown3.bmp	 41	 0	 233.463035	 235.462759	
999	 1	 1	 before	 1	 WerthersOriginal.bmp	 11	 1	 240.462588	 242.462159	
999	 1	 1	 before	 1	 Tapuchips.bmp	 15	 0	 247.462896	 249.462943	
999	 1	 1	 before	 1	 BambaSweet.bmp	 53	 1	 254.462958	 256.461634	
999	 1	 1	 before	 1	 KashitSour.bmp	 51	 0	 261.462273	 263.462813	
999	 1	 1	 before	 1	 Mentos.bmp	 19	 0	 268.462705	 270.462929	
999	 1	 1	 before	 1	 KinderBuenoBrown3.bmp	 5	 1	 275.462036	 277.462951	
