subjectID	order	run	before_or_after	session(visit)	itemName	bidInd	isOne?	onsettime	fixationTime
999	 1	 1	 before	 1	 Tapuchips.bmp	 15	 0	 4.324461	 6.307685	
999	 1	 1	 before	 1	 BambaNugat.bmp	 13	 1	 13.310140	 15.310758	
999	 1	 1	 before	 1	 ClickBalls5.bmp	 17	 1	 22.309502	 24.311064	
999	 1	 1	 before	 1	 Taami.bmp	 21	 0	 31.311342	 33.305214	
999	 1	 1	 before	 1	 CrunchBisquitWhite2.bmp	 3	 1	 40.311828	 42.311491	
999	 1	 1	 before	 1	 ClickBisquit2.bmp	 39	 0	 49.306514	 51.308735	
999	 1	 1	 before	 1	 HappyHippo.bmp	 18	 1	 58.312487	 60.312381	
999	 1	 1	 before	 1	 Popco.bmp	 50	 1	 67.309229	 69.312791	
999	 1	 1	 before	 1	 GumiWine2.bmp	 12	 0	 76.312862	 78.312514	
999	 1	 1	 before	 1	 Smarties.bmp	 9	 1	 85.312948	 87.313020	
999	 1	 1	 before	 1	 BisliOnion.bmp	 22	 0	 94.308118	 96.309497	
999	 1	 1	 before	 1	 BagaleShtuhim.bmp	 58	 1	 103.313404	 105.313307	
999	 1	 1	 before	 1	 SkittlesFruits2.bmp	 42	 0	 112.310935	 114.313403	
999	 1	 1	 before	 1	 KinderBuenoBrown3.bmp	 5	 1	 121.313779	 123.314046	
999	 1	 1	 before	 1	 Loacker.bmp	 20	 0	 130.314218	 132.313807	
999	 1	 1	 before	 1	 ChocolateParaMilk3.bmp	 46	 0	 139.307391	 141.310122	
999	 1	 1	 before	 1	 Mentos.bmp	 19	 0	 148.314621	 150.314707	
999	 1	 1	 before	 1	 KinderJoy.bmp	 4	 0	 157.310951	 159.313708	
999	 1	 1	 before	 1	 KashitSour.bmp	 51	 0	 166.305173	 168.307482	
999	 1	 1	 before	 1	 CrunchBisquitBrown3.bmp	 41	 0	 175.314849	 177.315829	
999	 1	 1	 before	 1	 Bamba.bmp	 44	 0	 184.308917	 186.310908	
999	 1	 1	 before	 1	 BisliPizza3.bmp	 48	 0	 193.315270	 195.315269	
999	 1	 1	 before	 1	 Dubonim.bmp	 43	 0	 202.312258	 204.315342	
999	 1	 1	 before	 1	 ClickXLwhite4.bmp	 56	 0	 211.306144	 213.307984	
999	 1	 1	 before	 1	 Bounty.bmp	 8	 0	 220.316348	 222.316585	
999	 1	 1	 before	 1	 Mekupelet.bmp	 40	 1	 229.309200	 231.311984	
999	 1	 1	 before	 1	 Cheetos.bmp	 49	 0	 238.316266	 240.316478	
999	 1	 1	 before	 1	 GumiSnakes3.bmp	 52	 1	 247.312735	 249.315390	
999	 1	 1	 before	 1	 BambaSweet.bmp	 53	 1	 256.306216	 258.308845	
999	 1	 1	 before	 1	 KinderBuenoWhite2.bmp	 7	 0	 265.320161	 267.317654	
999	 1	 1	 before	 1	 TapuchipsCrunch.bmp	 57	 1	 274.312649	 276.312080	
999	 1	 1	 before	 1	 Mars.bmp	 47	 1	 283.317717	 285.305406	
999	 1	 1	 before	 1	 Kitkat.bmp	 45	 1	 292.313331	 294.316019	
999	 1	 1	 before	 1	 DoritosGrill.bmp	 6	 1	 301.307167	 303.309652	
999	 1	 1	 before	 1	 Halva2.bmp	 10	 0	 310.318098	 312.318595	
999	 1	 1	 before	 1	 WerthersOriginal.bmp	 11	 1	 319.310881	 321.314157	
999	 1	 1	 before	 1	 Tortit.bmp	 16	 1	 328.319388	 330.307943	
999	 1	 1	 before	 1	 SkittlesSour4.bmp	 14	 1	 337.314322	 339.316290	
999	 1	 1	 before	 1	 DoritosNatural.bmp	 54	 1	 346.307209	 348.309732	
999	 1	 1	 before	 1	 BisliGrill.bmp	 55	 0	 355.318132	 357.319447	
