subjectID	order	run	before_or_after	session(visit)	itemName	bidInd	oneOrSeveral?	onsettime	fixationTime
999	 1	 1	 after	 1	 BisliPizza3.bmp	 48	 0	 4.324174	 6.324406	
999	 1	 1	 after	 1	 CrunchBisquitWhite2.bmp	 3	 1	 13.324372	 15.323870	
999	 1	 1	 after	 1	 BisliGrill.bmp	 55	 0	 22.318548	 24.320364	
999	 1	 1	 after	 1	 CrunchBisquitBrown3.bmp	 41	 0	 31.324957	 33.324850	
999	 1	 1	 after	 1	 Mars.bmp	 47	 1	 40.322678	 42.325226	
999	 1	 1	 after	 1	 Kitkat.bmp	 45	 1	 49.333408	 51.324886	
999	 1	 1	 after	 1	 Mekupelet.bmp	 40	 1	 58.328889	 60.325458	
999	 1	 1	 after	 1	 ClickBisquit2.bmp	 39	 0	 67.321423	 69.321771	
999	 1	 1	 after	 1	 DoritosNatural.bmp	 54	 1	 76.325725	 78.326030	
999	 1	 1	 after	 1	 KinderBuenoWhite2.bmp	 7	 0	 85.324803	 87.326102	
999	 1	 1	 after	 1	 ClickXLwhite4.bmp	 56	 0	 94.326348	 96.326157	
999	 1	 1	 after	 1	 Dubonim.bmp	 43	 0	 103.326412	 105.326409	
999	 1	 1	 after	 1	 Loacker.bmp	 20	 0	 112.320480	 114.322849	
999	 1	 1	 after	 1	 KinderBuenoBrown3.bmp	 5	 1	 121.327164	 123.330936	
999	 1	 1	 after	 1	 Cheetos.bmp	 49	 0	 130.323996	 132.329678	
999	 1	 1	 after	 1	 ChocolateParaMilk3.bmp	 46	 0	 139.330225	 141.319634	
999	 1	 1	 after	 1	 Bounty.bmp	 8	 0	 148.327668	 150.327783	
999	 1	 1	 after	 1	 Mentos.bmp	 19	 0	 157.325004	 159.322989	
999	 1	 1	 after	 1	 Smarties.bmp	 9	 1	 166.327978	 168.330919	
999	 1	 1	 after	 1	 Popco.bmp	 50	 1	 175.325019	 177.327342	
999	 1	 1	 after	 1	 BagaleShtuhim.bmp	 58	 1	 184.331336	 186.319984	
999	 1	 1	 after	 1	 DoritosGrill.bmp	 6	 1	 193.328764	 195.328457	
999	 1	 1	 after	 1	 ClickBalls5.bmp	 17	 1	 202.321301	 204.324086	
999	 1	 1	 after	 1	 BambaSweet.bmp	 53	 1	 211.551588	 213.328848	
999	 1	 1	 after	 1	 HappyHippo.bmp	 18	 1	 220.328067	 222.331332	
999	 1	 1	 after	 1	 Taami.bmp	 21	 0	 229.319123	 231.321704	
999	 1	 1	 after	 1	 Bamba.bmp	 44	 0	 238.329730	 240.329685	
999	 1	 1	 after	 1	 Tapuchips.bmp	 15	 0	 247.323000	 249.324825	
999	 1	 1	 after	 1	 Tortit.bmp	 16	 1	 256.332092	 258.342979	
999	 1	 1	 after	 1	 SkittlesSour4.bmp	 14	 1	 265.326507	 267.333493	
999	 1	 1	 after	 1	 BisliOnion.bmp	 22	 0	 274.319695	 276.324017	
999	 1	 1	 after	 1	 WerthersOriginal.bmp	 11	 1	 283.330798	 285.332353	
999	 1	 1	 after	 1	 KashitSour.bmp	 51	 0	 292.323386	 294.325279	
999	 1	 1	 after	 1	 GumiWine2.bmp	 12	 0	 301.333605	 303.322029	
999	 1	 1	 after	 1	 GumiSnakes3.bmp	 52	 1	 310.326923	 312.329211	
999	 1	 1	 after	 1	 KinderJoy.bmp	 4	 0	 319.320038	 321.322248	
999	 1	 1	 after	 1	 Halva2.bmp	 10	 0	 328.331135	 330.330575	
999	 1	 1	 after	 1	 BambaNugat.bmp	 13	 1	 337.323857	 339.333091	
999	 1	 1	 after	 1	 TapuchipsCrunch.bmp	 57	 1	 346.330478	 348.323062	
999	 1	 1	 after	 1	 SkittlesFruits2.bmp	 42	 0	 355.331760	 357.330396	
