subjectID	order	run	before_or_after	session(visit)	itemName	bidInd	oneOrSeveral?	onsettime	fixationTime
999	 1	 1	 before	 1	 Mekupelet.bmp	 40	 1	 2.148133	 4.151013	
999	 1	 1	 before	 1	 BambaNugat.bmp	 13	 1	 9.156116	 11.158475	
999	 1	 1	 before	 1	 KinderJoy.bmp	 4	 0	 16.147392	 18.149556	
999	 1	 1	 before	 1	 BisliGrill.bmp	 55	 0	 23.155089	 25.157517	
999	 1	 1	 before	 1	 CrunchBisquitBrown3.bmp	 41	 0	 30.146290	 32.148685	
999	 1	 1	 before	 1	 ChocolateParaMilk3.bmp	 46	 0	 37.154157	 39.156499	
999	 1	 1	 before	 1	 Bounty.bmp	 8	 0	 44.145464	 46.147698	
999	 1	 1	 before	 1	 Tortit.bmp	 16	 1	 51.153263	 53.155549	
999	 1	 1	 before	 1	 Cheetos.bmp	 49	 0	 58.144434	 60.146679	
999	 1	 1	 before	 1	 DoritosGrill.bmp	 6	 1	 65.152252	 67.154534	
999	 1	 1	 before	 1	 CrunchBisquitWhite2.bmp	 3	 1	 72.143167	 74.145805	
999	 1	 1	 before	 1	 Smarties.bmp	 9	 1	 79.151276	 81.153633	
999	 1	 1	 before	 1	 BagaleShtuhim.bmp	 58	 1	 86.159145	 88.144825	
999	 1	 1	 before	 1	 KinderBuenoBrown3.bmp	 5	 1	 93.150372	 95.152697	
999	 1	 1	 before	 1	 SkittlesSour4.bmp	 14	 1	 100.158182	 102.143614	
999	 1	 1	 before	 1	 Loacker.bmp	 20	 0	 107.149384	 109.151717	
999	 1	 1	 before	 1	 WerthersOriginal.bmp	 11	 1	 114.157213	 116.159609	
999	 1	 1	 before	 1	 HappyHippo.bmp	 18	 1	 121.148433	 123.150775	
999	 1	 1	 before	 1	 Kitkat.bmp	 45	 1	 128.156233	 130.158627	
999	 1	 1	 before	 1	 Halva2.bmp	 10	 0	 135.147463	 137.149814	
