subjectID	order	itemIndABC	stimName	bidInd	runtrial	isOld?	subjectAnswerIsOld	onsettime_isOld	resp_isOld	RT_isOld	isGo?	subjectAnswerIsGo	onsettime_isGo	resp_isGo	RT_isGo
cat_between_MRI_998	2	24	Popco.bmp	8	1	1	999	1.218162e+00	999	999	1	999	4.755481e+00	999	999	
cat_between_MRI_998	2	27	Twix.bmp	7	2	1	999	9.293880e+00	999	999	0	999	1.281441e+01	999	999	
cat_between_MRI_998	2	39	Corny.bmp	0	3	0	999	1.735286e+01	999	999	0	999	2.087347e+01	999	999	
cat_between_MRI_998	2	3	BambaNugat.bmp	47	4	1	999	2.541194e+01	999	999	0	999	2.893252e+01	999	999	
cat_between_MRI_998	2	28	WerthersOriginal.bmp	10	5	1	999	3.347098e+01	999	999	0	999	3.699154e+01	999	999	
cat_between_MRI_998	2	12	DoritosNatural.bmp	52	6	1	999	4.153010e+01	999	999	0	999	4.505067e+01	999	999	
cat_between_MRI_998	2	17	KashitSour.bmp	51	7	1	999	4.958902e+01	999	999	1	999	5.310970e+01	999	999	
cat_between_MRI_998	2	53	Pringles.bmp	0	8	0	999	5.764808e+01	999	999	0	999	6.116869e+01	999	999	
cat_between_MRI_998	2	42	DoritusMexicanNacho.bmp	0	9	0	999	6.570714e+01	999	999	0	999	6.922781e+01	999	999	
cat_between_MRI_998	2	14	Dubonim.bmp	11	10	1	999	7.376619e+01	999	999	1	999	7.728689e+01	999	999	
cat_between_MRI_998	2	41	DoritosMenupahBbq.bmp	0	11	0	999	8.182528e+01	999	999	0	999	8.534584e+01	999	999	
cat_between_MRI_998	2	31	BisliBbq.bmp	0	12	0	999	8.988429e+01	999	999	0	999	9.340490e+01	999	999	
cat_between_MRI_998	2	36	ChocolateWhite.bmp	0	13	0	999	9.794331e+01	999	999	0	999	1.014640e+02	999	999	
cat_between_MRI_998	2	6	Bounty.bmp	15	14	1	999	1.060024e+02	999	999	0	999	1.095230e+02	999	999	
cat_between_MRI_998	2	8	ChocolateParaMilk3.bmp	14	15	1	999	1.140614e+02	999	999	1	999	1.175821e+02	999	999	
cat_between_MRI_998	2	52	PitaCrunch.bmp	0	16	0	999	1.221206e+02	999	999	0	999	1.256412e+02	999	999	
cat_between_MRI_998	2	26	Tictac.bmp	17	17	1	999	1.301796e+02	999	999	1	999	1.337002e+02	999	999	
cat_between_MRI_998	2	23	PesekZman.bmp	49	18	1	999	1.382386e+02	999	999	1	999	1.417592e+02	999	999	
cat_between_MRI_998	2	13	DoritosSourSpicy.bmp	56	19	1	999	1.462976e+02	999	999	0	999	1.498183e+02	999	999	
cat_between_MRI_998	2	35	ChocolateParaNuts2.bmp	0	20	0	999	1.543567e+02	999	999	0	999	1.578773e+02	999	999	
cat_between_MRI_998	2	21	Loacker.bmp	55	21	1	999	1.624158e+02	999	999	0	999	1.659364e+02	999	999	
cat_between_MRI_998	2	16	HappyHippo.bmp	6	22	1	999	1.704748e+02	999	999	0	999	1.739955e+02	999	999	
cat_between_MRI_998	2	45	KifkefMaklotChocolate.bmp	0	23	0	999	1.785339e+02	999	999	0	999	1.820545e+02	999	999	
cat_between_MRI_998	2	43	Hispusim.bmp	0	24	0	999	1.865953e+02	999	999	0	999	1.901302e+02	999	999	
cat_between_MRI_998	2	47	Lotus.bmp	0	25	0	999	1.946686e+02	999	999	0	999	1.981892e+02	999	999	
cat_between_MRI_998	2	19	KinderBuenoBrown3.bmp	44	26	1	999	2.027277e+02	999	999	0	999	2.062483e+02	999	999	
cat_between_MRI_998	2	7	ChocolateParaCookies5.bmp	45	27	1	999	2.107867e+02	999	999	0	999	2.143074e+02	999	999	
cat_between_MRI_998	2	55	Toblerone.bmp	0	28	0	999	2.188459e+02	999	999	0	999	2.223665e+02	999	999	
cat_between_MRI_998	2	40	Crunch4.bmp	0	29	0	999	2.269049e+02	999	999	0	999	2.304255e+02	999	999	
cat_between_MRI_998	2	1	Apropo.bmp	9	30	1	999	2.349639e+02	999	999	1	999	2.384845e+02	999	999	
cat_between_MRI_998	2	38	CookiesSmile.bmp	0	31	0	999	2.430229e+02	999	999	0	999	2.465436e+02	999	999	
cat_between_MRI_998	2	4	BisliGrill.bmp	48	32	1	999	2.510820e+02	999	999	1	999	2.546026e+02	999	999	
cat_between_MRI_998	2	25	Smarties.bmp	50	33	1	999	2.591411e+02	999	999	0	999	2.626617e+02	999	999	
cat_between_MRI_998	2	56	bagaleShminiot.bmp	0	34	0	999	2.672001e+02	999	999	0	999	2.707207e+02	999	999	
cat_between_MRI_998	2	5	BisliOnion.bmp	5	35	1	999	2.752592e+02	999	999	0	999	2.787797e+02	999	999	
cat_between_MRI_998	2	10	ClickXLwhite4.bmp	43	36	1	999	2.833182e+02	999	999	1	999	2.868389e+02	999	999	
cat_between_MRI_998	2	54	TapuchipsCrunch2.bmp	0	37	0	999	2.913773e+02	999	999	0	999	2.948979e+02	999	999	
cat_between_MRI_998	2	20	KinderBuenoWhite2.bmp	53	38	1	999	2.994363e+02	999	999	0	999	3.029569e+02	999	999	
cat_between_MRI_998	2	46	KinderFingers.bmp	0	39	0	999	3.074954e+02	999	999	0	999	3.110160e+02	999	999	
cat_between_MRI_998	2	44	Kifkef.bmp	0	40	0	999	3.155544e+02	999	999	0	999	3.190752e+02	999	999	
