subjectID	order	RunNum	itemName	onsetTime	trialType	RT	respInTime	CueTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
cat_between_MRI_998	 2	 6	 TapuchipsCrunch.bmp	 2.959098e+00	 24	 999000	 240	 999000	 999	 3.976909e+00	 133.33	 266.67	 57.00	 29	 4.35	 
cat_between_MRI_998	 2	 6	 ChocolateParaCookies5.bmp	 6.946699e+00	 24	 999000	 240	 999000	 999	 7.964459e+00	 133.33	 266.67	 45.00	 60	 4.96	 
cat_between_MRI_998	 2	 6	 ChocolateParaMilk3.bmp	 1.195238e+01	 11	 999000	 1	 1.338549e+02	 999	 1.297007e+01	 83.33	 266.67	 14.00	 21	 5.67	 
cat_between_MRI_998	 2	 6	 BambaNugat.bmp	 1.495566e+01	 24	 999000	 240	 999000	 999	 1.597349e+01	 83.33	 266.67	 47.00	 27	 4.85	 
cat_between_MRI_998	 2	 6	 PesekZman.bmp	 1.896028e+01	 22	 6.197462e+02	 220	 2.672667e+02	 98	 1.997794e+01	 83.33	 283.34	 49.00	 50	 4.83	 
cat_between_MRI_998	 2	 6	 BabyDoll.bmp	 2.094576e+01	 12	 999000	 120	 999000	 999	 2.196355e+01	 83.33	 283.34	 3.00	 16	 6.59	 
cat_between_MRI_998	 2	 6	 Hit.bmp	 2.294801e+01	 24	 999000	 240	 999000	 999	 2.396573e+01	 83.33	 283.34	 41.00	 23	 5.05	 
cat_between_MRI_998	 2	 6	 BambaSweet.bmp	 2.595137e+01	 12	 999000	 120	 999000	 999	 2.696923e+01	 83.33	 283.34	 20.00	 33	 5.51	 
cat_between_MRI_998	 2	 6	 Loacker.bmp	 2.895477e+01	 24	 999000	 240	 999000	 999	 2.997248e+01	 83.33	 283.34	 55.00	 24	 4.68	 
cat_between_MRI_998	 2	 6	 KinderBuenoBrown3.bmp	 3.195812e+01	 24	 999000	 240	 999000	 999	 3.297594e+01	 83.33	 283.34	 44.00	 55	 5.01	 
