Snickers.bmp	0	1	7.191528e+00	2	
ClickXLbrown4.bmp	0	2	6.932129e+00	6	
CrunchBisquitWhite2.bmp	12	3	6.737101e+00	9	
KinderJoy.bmp	12	4	6.638916e+00	4	
KinderBuenoBrown3.bmp	12	5	6.610840e+00	25	
DoritosGrill.bmp	12	6	6.583211e+00	32	
KinderBuenoWhite2.bmp	11	7	6.419352e+00	29	
Bounty.bmp	12	8	6.263224e+00	13	
Smarties.bmp	12	9	6.217936e+00	36	
Halva2.bmp	11	10	6.151408e+00	39	
WerthersOriginal.bmp	12	11	5.954997e+00	58	
GumiWine2.bmp	11	12	5.889364e+00	34	
BambaNugat.bmp	11	13	5.791178e+00	50	
SkittlesSour4.bmp	12	14	5.773966e+00	8	
Tapuchips.bmp	11	15	5.760824e+00	15	
Tortit.bmp	12	16	5.757202e+00	19	
ClickBalls5.bmp	12	17	5.753133e+00	44	
HappyHippo.bmp	11	18	5.694743e+00	21	
Mentos.bmp	12	19	5.644491e+00	60	
Loacker.bmp	12	20	5.637695e+00	17	
Taami.bmp	12	21	5.552653e+00	55	
BisliOnion.bmp	12	22	5.535441e+00	27	
CrunchShokoVanil.bmp	0	23	5.528646e+00	53	
DoritosSourSpicy.bmp	0	24	5.506022e+00	5	
ClickBlackWhite3.bmp	0	25	5.486572e+00	14	
ChocolateParaSucariotKoftzot2.bmp	0	26	5.469808e+00	23	
HispusimShatiah.bmp	0	27	5.334880e+00	52	
Keifli.bmp	0	28	5.314535e+00	41	
Shugi.bmp	0	29	5.311361e+00	12	
Hit.bmp	0	30	5.308634e+00	57	
Twix.bmp	0	31	5.288696e+00	43	
KifkefMaklot2.bmp	0	32	5.287801e+00	47	
Tictac.bmp	0	33	5.230387e+00	38	
Twist.bmp	0	34	5.168335e+00	24	
Egozi.bmp	0	35	5.083252e+00	48	
Apropo.bmp	0	36	5.077352e+00	56	
BabyDoll.bmp	0	37	5.068766e+00	31	
ChocolateParaMarir2.bmp	0	38	5.027710e+00	46	
ClickBisquit2.bmp	24	39	5.022135e+00	54	
Mekupelet.bmp	24	40	4.957886e+00	22	
CrunchBisquitBrown3.bmp	24	41	4.919434e+00	59	
SkittlesFruits2.bmp	24	42	4.761841e+00	45	
Dubonim.bmp	24	43	4.675008e+00	20	
Bamba.bmp	22	44	4.619792e+00	51	
Kitkat.bmp	22	45	4.605265e+00	11	
ChocolateParaMilk3.bmp	24	46	4.596232e+00	3	
Mars.bmp	22	47	4.440145e+00	35	
BisliPizza3.bmp	24	48	4.416585e+00	30	
Cheetos.bmp	24	49	4.331462e+00	49	
Popco.bmp	22	50	4.240479e+00	33	
KashitSour.bmp	24	51	4.232788e+00	7	
GumiSnakes3.bmp	22	52	4.215129e+00	1	
BambaSweet.bmp	22	53	4.192505e+00	40	
DoritosNatural.bmp	24	54	4.180786e+00	16	
BisliGrill.bmp	24	55	4.124186e+00	26	
ClickXLwhite4.bmp	24	56	3.859456e+00	37	
TapuchipsCrunch.bmp	24	57	3.808716e+00	28	
BagaleShtuhim.bmp	24	58	3.721802e+00	18	
ChocolateParaCookies5.bmp	0	59	3.564779e+00	10	
PesekZman.bmp	0	60	3.046997e+00	42	

